0 0 0
1 0 1
2 0 2
3 0 3
4 0 4
5 0 5
6 0 6
7 0 7
8 0 8
9 0 9
10 0 1
11 0 2
12 0 3
13 0 4
14 0 5
15 0 6
16 0 7
17 0 8
18 0 9
19 0 10
20 0 2
21 0 3
22 0 4
23 0 5
24 0 6
25 0 7
26 0 8
27 0 9
28 0 10
29 0 11
30 0 3
31 0 4
32 0 5
33 0 6
34 0 7
35 0 8
36 0 9
37 0 10
38 0 11
39 0 12
40 0 4
41 0 5
42 0 6
43 0 7
44 0 8
45 0 9
46 0 10
47 0 11
48 0 12
49 0 13
50 0 5
51 0 6
52 0 7
53 0 8
54 0 9
55 0 10
56 0 11
57 0 12
58 0 13
59 0 14
60 0 6
61 0 7
62 0 8
63 0 9
64 0 10
65 0 11
66 0 12
67 0 13
68 0 14
69 0 15
70 0 7
71 0 8
72 0 9
73 0 10
74 0 11
75 0 12
76 0 13
77 0 14
78 0 15
79 0 16
80 0 8
81 0 9
82 0 10
83 0 11
84 0 12
85 0 13
86 0 14
87 0 15
88 0 16
89 0 17
90 0 9
91 0 10
92 0 11
93 0 12
94 0 13
95 0 14
96 0 15
97 0 16
98 0 17
99 0 18
100 0 1
101 0 2
102 0 3
103 0 4
104 0 5
105 0 6
106 0 7
107 0 8
108 0 9
109 0 10
110 0 2
111 0 3
112 0 4
113 0 5
114 0 6
115 0 7
116 0 8
117 0 9
118 0 10
119 0 11
120 0 3
121 0 4
122 0 5
123 0 6
124 0 7
125 0 8
126 0 9
127 0 10
128 0 11
129 0 12
130 0 4
131 0 5
132 0 6
133 0 7
134 0 8
135 0 9
136 0 10
137 0 11
138 0 12
139 0 13
140 0 5
141 0 6
142 0 7
143 0 8
144 0 9
145 0 10
146 0 11
147 0 12
148 0 13
149 0 14
150 0 6
151 0 7
152 0 8
153 0 9
154 0 10
155 0 11
156 0 12
157 0 13
158 0 14
159 0 15
160 0 7
161 0 8
162 0 9
163 0 10
164 0 11
165 0 12
166 0 13
167 0 14
168 0 15
169 0 16
170 0 8
171 0 9
172 0 10
173 0 11
174 0 12
175 0 13
176 0 14
177 0 15
178 0 16
179 0 17
180 0 9
181 0 10
182 0 11
183 0 12
184 0 13
185 0 14
186 0 15
187 0 16
188 0 17
189 0 18
190 0 10
191 0 11
192 0 12
193 0 13
194 0 14
195 0 15
196 0 16
197 0 17
198 0 18
199 0 19
200 0 2
201 0 3
202 0 4
203 0 5
204 0 6
205 0 7
206 0 8
207 0 9
208 0 10
209 0 11
210 0 3
211 0 4
212 0 5
213 0 6
214 0 7
215 0 8
216 0 9
217 0 10
218 0 11
219 0 12
220 0 4
221 0 5
222 0 6
223 0 7
224 0 8
225 0 9
226 0 10
227 0 11
228 0 12
229 0 13
230 0 5
231 0 6
232 0 7
233 0 8
234 0 9
235 0 10
236 0 11
237 0 12
238 0 13
239 0 14
240 0 6
241 0 7
242 0 8
243 0 9
244 0 10
245 0 11
246 0 12
247 0 13
248 0 14
249 0 15
250 0 7
251 0 8
252 0 9
253 0 10
254 0 11
255 0 12
256 0 13
257 0 14
258 0 15
259 0 16
260 0 8
261 0 9
262 0 10
263 0 11
264 0 12
265 0 13
266 0 14
267 0 15
268 0 16
269 0 17
270 0 9
271 0 10
272 0 11
273 0 12
274 0 13
275 0 14
276 0 15
277 0 16
278 0 17
279 0 18
280 0 10
281 0 11
282 0 12
283 0 13
284 0 14
285 0 15
286 0 16
287 0 17
288 0 18
289 0 19
290 0 11
291 0 12
292 0 13
293 0 14
294 0 15
295 0 16
296 0 17
297 0 18
298 0 19
297 1 19
296 1 18
295 1 17
294 1 16
293 1 15
292 1 14
291 1 13
290 1 12
290 2 13
291 2 14
292 2 15
